	ID	Lat	Long	Types
136	5453ea855213bc65bfb4d54b2f5f427f235be35d	54.6779828	25.286083	['night_club', 'point_of_interest', 'establishment']
137	d7f801196600d17de91b15709474df26362506aa	54.6774371	25.2842689	['night_club', 'bar', 'point_of_interest', 'establishment']
138	0d37d14e910b27d7ecbe6baf51f11d15beab32d2	54.6774241	25.2842512	['night_club', 'bar', 'point_of_interest', 'establishment']
139	e0a7f1b113c3afb209c4acfd01087ee9bc2e9852	54.6776027	25.2863216	['night_club', 'point_of_interest', 'establishment']
140	b8126edb64f41de780b7909b45cd9a02968a7198	54.68968	25.2647253	['night_club', 'point_of_interest', 'establishment']
141	1e83ded13118be36e536c56688861a1061b0c201	54.6768988	25.2869164	['night_club', 'point_of_interest', 'establishment']
142	78c810851d81192901e2f7e0f578ef62030bcc3a	54.676836	25.2867649	['night_club', 'point_of_interest', 'establishment']
143	00a822a6c4e9cf57b0eeff819eb6cdab5f4a6228	54.6778516	25.2707819	['night_club', 'point_of_interest', 'establishment']
144	7270cb15d4c0819e783dc784cdeaf8580b6d965b	54.6754994	25.2889829	['night_club', 'bar', 'point_of_interest', 'establishment']
145	ad6f38118822feba8f651945f399bf3bc9de8f02	54.6975724	25.2696327	['night_club', 'point_of_interest', 'establishment']
146	c15fd273295fae19ed15a2259de0012fe4319c7c	54.67803019999999	25.2984673	['night_club', 'point_of_interest', 'establishment']
147	0d6559c80ed4385e95482d8711fd215935e63783	54.67633600000001	25.2657731	['night_club', 'point_of_interest', 'establishment']
148	6e42e1d20769e91a01a0732b2cc9d0a21eec371a	54.68805149999999	25.3055266	['night_club', 'point_of_interest', 'establishment']
149	9deff5b8a8ec30a2d093d25d4d68f7b51777e5bb	54.6715423	25.2684618	['night_club', 'bar', 'point_of_interest', 'establishment']
150	da51be6b348445104d95dcc52fdbfc1061c958b0	54.6708296	25.2917082	['night_club', 'point_of_interest', 'establishment']
151	ccd17602d835c3899a793a9814b6cda7806a484c	54.6696642	25.2827634	['night_club', 'point_of_interest', 'establishment']
152	18e1c019cf2bfbc0d543ea8f8b6e5c7711c2c97a	54.6908669	25.2516494	['night_club', 'point_of_interest', 'establishment']
153	de70c85b8ffdc1ae097be52adea98f690896c9b3	54.70217210000001	25.2526412	['night_club', 'point_of_interest', 'establishment']
154	ba97ffbb593b3228505749c4a4b58d0081c4ea16	54.6979013	25.302721	['park', 'point_of_interest', 'establishment']
155	0d3170d5255e820df6f172699f0985db27d91168	54.6875874	25.2806557	['park', 'point_of_interest', 'establishment']
156	e5508d1540ecc96fb96353b571e21056c4ca7c84	54.6829924	25.2759484	['park', 'point_of_interest', 'establishment']
